customer_id,customer_name,email,avg_spent_per_order,total_orders,total_spent
187,"BRITTANY RILEY",BRITTANY.RILEY@sakilacustomer.org,5.70,28,159.72
433,"DON BONE",DON.BONE@sakilacustomer.org,5.35,25,133.75
321,"KEVIN SCHULER",KEVIN.SCHULER@sakilacustomer.org,5.31,22,116.78
259,"LENA JENSEN",LENA.JENSEN@sakilacustomer.org,5.27,32,168.68
542,"LONNIE TIRADO",LONNIE.TIRADO@sakilacustomer.org,5.27,18,94.82
311,"PAUL TROUT",PAUL.TROUT@sakilacustomer.org,5.25,23,120.77
19,"RUTH MARTINEZ",RUTH.MARTINEZ@sakilacustomer.org,5.24,24,125.76
3,"LINDA WILLIAMS",LINDA.WILLIAMS@sakilacustomer.org,5.22,26,135.74
285,"MIRIAM MCKINNEY",MIRIAM.MCKINNEY@sakilacustomer.org,5.22,26,135.74
22,"LAURA RODRIGUEZ",LAURA.RODRIGUEZ@sakilacustomer.org,5.17,22,113.78
181,"ANA BRADLEY",ANA.BRADLEY@sakilacustomer.org,5.14,34,174.66
293,"MAE FLETCHER",MAE.FLETCHER@sakilacustomer.org,5.12,31,158.69
583,"MARSHALL THORN",MARSHALL.THORN@sakilacustomer.org,5.12,23,117.77
508,"MILTON HOWLAND",MILTON.HOWLAND@sakilacustomer.org,5.11,25,127.75
432,"EDWIN BURK",EDWIN.BURK@sakilacustomer.org,5.08,23,116.77
522,"ARNOLD HAVENS",ARNOLD.HAVENS@sakilacustomer.org,5.08,33,167.67
571,"JOHNNIE CHISHOLM",JOHNNIE.CHISHOLM@sakilacustomer.org,5.07,24,121.76
200,"JEANNE LAWSON",JEANNE.LAWSON@sakilacustomer.org,5.06,27,136.73
209,"TONYA CHAPMAN",TONYA.CHAPMAN@sakilacustomer.org,5.05,32,161.68
429,"FREDERICK ISBELL",FREDERICK.ISBELL@sakilacustomer.org,5.04,21,105.79
509,"RAUL FORTIER",RAUL.FORTIER@sakilacustomer.org,5.04,20,100.80
82,"KATHRYN COLEMAN",KATHRYN.COLEMAN@sakilacustomer.org,5.03,26,130.74
470,"GORDON ALLARD",GORDON.ALLARD@sakilacustomer.org,5.02,32,160.68
