customer_id,customer_name,email,active,total_rentals,total_spent,days_since_last_rental,churn_status
428,"HERBERT KRUGER",HERBERT.KRUGER@sakilacustomer.org,1,20,78.80,181,"Likely Churned"
326,"JOSE ANDREW",JOSE.ANDREW@sakilacustomer.org,1,25,96.75,179,"Likely Churned"
483,"VERNON CHAPA",VERNON.CHAPA@sakilacustomer.org,1,18,88.82,179,"Likely Churned"
485,"CLYDE TOBIAS",CLYDE.TOBIAS@sakilacustomer.org,1,29,115.71,179,"Likely Churned"
498,"GENE SANBORN",GENE.SANBORN@sakilacustomer.org,1,27,97.73,179,"Likely Churned"
573,"BYRON BOX",BYRON.BOX@sakilacustomer.org,1,29,120.71,179,"Likely Churned"
18,"CAROL GARCIA",CAROL.GARCIA@sakilacustomer.org,1,22,91.78,178,"Likely Churned"
85,"ANNE POWELL",ANNE.POWELL@sakilacustomer.org,1,23,87.77,178,"Likely Churned"
164,"JOANN GARDNER",JOANN.GARDNER@sakilacustomer.org,1,16,66.84,178,"Likely Churned"
183,"IDA ANDREWS",IDA.ANDREWS@sakilacustomer.org,1,23,76.77,178,"Likely Churned"
239,"MINNIE ROMERO",MINNIE.ROMERO@sakilacustomer.org,1,34,142.66,178,"Likely Churned"
272,"KAY CALDWELL",KAY.CALDWELL@sakilacustomer.org,1,20,98.80,178,"Likely Churned"
290,"KRISTINA CHAMBERS",KRISTINA.CHAMBERS@sakilacustomer.org,1,28,109.72,178,"Likely Churned"
358,"SAMUEL MARLOW",SAMUEL.MARLOW@sakilacustomer.org,1,21,80.79,178,"Likely Churned"
572,"SIDNEY BURLESON",SIDNEY.BURLESON@sakilacustomer.org,1,25,108.75,178,"Likely Churned"
591,"KENT ARSENAULT",KENT.ARSENAULT@sakilacustomer.org,1,27,134.73,178,"Likely Churned"
7,"MARIA MILLER",MARIA.MILLER@sakilacustomer.org,1,33,151.67,177,"Likely Churned"
16,"SANDRA MARTIN",SANDRA.MARTIN@sakilacustomer.org,0,28,118.72,177,"Inactive (Churned)"
32,"AMY LOPEZ",AMY.LOPEZ@sakilacustomer.org,1,29,127.71,177,"Likely Churned"
34,"REBECCA SCOTT",REBECCA.SCOTT@sakilacustomer.org,1,24,89.76,177,"Likely Churned"
35,"VIRGINIA GREEN",VIRGINIA.GREEN@sakilacustomer.org,1,32,129.68,177,"Likely Churned"
49,"JOYCE EDWARDS",JOYCE.EDWARDS@sakilacustomer.org,1,28,130.72,177,"Likely Churned"
65,"ROSE HOWARD",ROSE.HOWARD@sakilacustomer.org,1,22,103.78,177,"Likely Churned"
79,"RACHEL BARNES",RACHEL.BARNES@sakilacustomer.org,1,22,84.78,177,"Likely Churned"
95,"PAULA BRYANT",PAULA.BRYANT@sakilacustomer.org,1,18,77.82,177,"Likely Churned"
122,"THELMA MURRAY",THELMA.MURRAY@sakilacustomer.org,1,32,126.68,177,"Likely Churned"
145,"LUCILLE HOLMES",LUCILLE.HOLMES@sakilacustomer.org,1,28,108.72,177,"Likely Churned"
150,"DANIELLE DANIELS",DANIELLE.DANIELS@sakilacustomer.org,1,25,105.75,177,"Likely Churned"
185,"ROBERTA HARPER",ROBERTA.HARPER@sakilacustomer.org,1,23,84.77,177,"Likely Churned"
222,"DELORES HANSEN",DELORES.HANSEN@sakilacustomer.org,1,21,91.79,177,"Likely Churned"
225,"ARLENE HARVEY",ARLENE.HARVEY@sakilacustomer.org,1,26,120.74,177,"Likely Churned"
230,"JOY GEORGE",JOY.GEORGE@sakilacustomer.org,1,33,124.67,177,"Likely Churned"
243,"LYDIA BURKE",LYDIA.BURKE@sakilacustomer.org,1,24,82.76,177,"Likely Churned"
255,"IRMA PEARSON",IRMA.PEARSON@sakilacustomer.org,1,18,70.82,177,"Likely Churned"
260,"CHRISTY VARGAS",CHRISTY.VARGAS@sakilacustomer.org,1,31,122.69,177,"Likely Churned"
281,"LEONA OBRIEN",LEONA.OBRIEN@sakilacustomer.org,1,14,50.86,177,"Likely Churned"
318,"BRIAN WYMAN",BRIAN.WYMAN@sakilacustomer.org,1,12,52.88,177,"Likely Churned"
339,"WALTER PERRYMAN",WALTER.PERRYMAN@sakilacustomer.org,1,30,127.70,177,"Likely Churned"
365,"BRUCE SCHWARZ",BRUCE.SCHWARZ@sakilacustomer.org,1,23,103.77,177,"Likely Churned"
367,"ADAM GOOCH",ADAM.GOOCH@sakilacustomer.org,1,22,101.78,177,"Likely Churned"
391,"CLARENCE GAMEZ",CLARENCE.GAMEZ@sakilacustomer.org,1,30,104.70,177,"Likely Churned"
392,"SEAN DOUGLASS",SEAN.DOUGLASS@sakilacustomer.org,1,23,91.77,177,"Likely Churned"
406,"NATHAN RUNYON",NATHAN.RUNYON@sakilacustomer.org,0,32,122.68,177,"Inactive (Churned)"
409,"RODNEY MOELLER",RODNEY.MOELLER@sakilacustomer.org,1,23,104.77,177,"Likely Churned"
429,"FREDERICK ISBELL",FREDERICK.ISBELL@sakilacustomer.org,1,21,105.79,177,"Likely Churned"
470,"GORDON ALLARD",GORDON.ALLARD@sakilacustomer.org,1,32,160.68,177,"Likely Churned"
481,"HERMAN DEVORE",HERMAN.DEVORE@sakilacustomer.org,1,29,115.71,177,"Likely Churned"
486,"GLEN TALBERT",GLEN.TALBERT@sakilacustomer.org,1,26,113.74,177,"Likely Churned"
549,"NELSON CHRISTENSON",NELSON.CHRISTENSON@sakilacustomer.org,1,20,77.80,177,"Likely Churned"
558,"JIMMIE EGGLESTON",JIMMIE.EGGLESTON@sakilacustomer.org,0,28,135.72,177,"Inactive (Churned)"
566,"CASEY MENA",CASEY.MENA@sakilacustomer.org,1,34,141.66,177,"Likely Churned"
583,"MARSHALL THORN",MARSHALL.THORN@sakilacustomer.org,1,23,117.77,177,"Likely Churned"
593,"RENE MCALISTER",RENE.MCALISTER@sakilacustomer.org,1,26,113.74,177,"Likely Churned"
1,"MARY SMITH",MARY.SMITH@sakilacustomer.org,1,32,118.68,176,"Likely Churned"
